score=0.5879314487445938, n_clusters=2, kproto.cost_=46519926248627.34
score=0.549697552444435, n_clusters=3, kproto.cost_=25313973469048.527
score=0.5552031118482339, n_clusters=4, kproto.cost_=16507028427320.635
score=0.5377135114449826, n_clusters=5, kproto.cost_=11741704274283.936
score=0.5424114692679833, n_clusters=6, kproto.cost_=8474958772991.547
score=0.5452824406453705, n_clusters=7, kproto.cost_=6388010631914.506
score=0.5267019767964408, n_clusters=8, kproto.cost_=5250316111419.136
score=0.5239333462120755, n_clusters=9, kproto.cost_=4366122597697.0127
score=0.5254722812749802, n_clusters=10, kproto.cost_=3493980705628.491
score=0.5154009558619855, n_clusters=11, kproto.cost_=3069157689652.015
score=0.5252923650141789, n_clusters=12, kproto.cost_=2683590205681.794
score=0.5215676975133386, n_clusters=13, kproto.cost_=2376471887535.2354
score=0.5241651349443052, n_clusters=14, kproto.cost_=2048019369316.4358
